start_date,end_date,duration,total_precip,event_type
2006-08-21,2006-08-22,2,70.19999999999999,extreme
2008-07-11,2008-07-11,1,20.7,extreme
2008-08-02,2008-08-04,3,52.5,extreme
2008-08-17,2008-08-17,1,37.8,extreme
2009-06-13,2009-06-14,2,51.800000000000004,extreme
2009-07-09,2009-07-09,1,66.8,extreme
2009-07-12,2009-07-12,1,20.4,extreme
2009-08-21,2009-08-21,1,20.0,extreme
2010-06-12,2010-06-12,1,51.4,extreme
2010-08-24,2010-08-24,1,37.4,extreme
2011-07-23,2011-07-23,1,24.4,extreme
2011-08-07,2011-08-07,1,27.7,extreme
2012-06-02,2012-06-03,2,49.599999999999994,extreme
2012-06-29,2012-06-29,1,22.0,extreme
2012-07-08,2012-07-09,2,47.1,extreme
2013-06-04,2013-06-04,1,24.8,extreme
2013-08-11,2013-08-11,1,88.9,extreme
2013-08-31,2013-08-31,1,89.7,extreme
2014-07-13,2014-07-13,1,22.4,extreme
