start_date,end_date,magnitude_mm
2006-08-21,2006-08-22,70.19999999999999
2008-07-11,2008-07-11,20.7
2008-08-02,2008-08-04,52.5
2008-08-17,2008-08-17,37.8
2009-06-13,2009-06-14,51.800000000000004
2009-07-09,2009-07-09,66.8
2009-07-12,2009-07-12,20.4
2009-08-21,2009-08-21,20.0
2010-06-12,2010-06-12,51.4
2010-08-24,2010-08-24,37.4
2011-07-23,2011-07-23,24.4
2011-08-07,2011-08-07,27.7
2012-06-02,2012-06-03,49.599999999999994
2012-06-29,2012-06-29,22.0
2012-07-08,2012-07-09,47.1
2013-06-04,2013-06-04,24.8
2013-08-11,2013-08-11,88.9
2013-08-31,2013-08-31,89.7
2014-07-13,2014-07-13,22.4
