start_date,end_date,duration,total_precip,event_type
2006-07-27,2006-07-27,1,10.4,heavy
2006-08-13,2006-08-14,2,36.3,heavy
2007-06-14,2007-06-14,1,10.6,heavy
2007-07-04,2007-07-04,1,11.5,heavy
2007-07-27,2007-07-27,1,10.3,heavy
2007-08-27,2007-08-27,1,10.2,heavy
2008-06-14,2008-06-14,1,11.3,heavy
2008-08-12,2008-08-12,1,14.1,heavy
2009-06-04,2009-06-04,1,11.3,heavy
2009-07-16,2009-07-16,1,16.5,heavy
2009-07-23,2009-07-23,1,18.3,heavy
2009-08-15,2009-08-15,1,13.0,heavy
2009-08-26,2009-08-26,1,13.5,heavy
2010-07-04,2010-07-04,1,12.1,heavy
2010-07-24,2010-07-25,2,29.0,heavy
2010-08-08,2010-08-08,1,16.1,heavy
2011-06-13,2011-06-13,1,13.6,heavy
2011-06-17,2011-06-17,1,12.8,heavy
2011-07-10,2011-07-10,1,13.0,heavy
2011-07-15,2011-07-15,1,16.9,heavy
2011-07-18,2011-07-18,1,10.4,heavy
2011-08-20,2011-08-20,1,18.2,heavy
2012-07-15,2012-07-15,1,10.2,heavy
2012-08-04,2012-08-04,1,13.1,heavy
2012-08-06,2012-08-06,1,15.8,heavy
2012-08-26,2012-08-26,1,15.5,heavy
2012-08-30,2012-08-31,2,31.3,heavy
2013-07-09,2013-07-09,1,17.7,heavy
2013-07-13,2013-07-13,1,13.6,heavy
2013-08-07,2013-08-09,3,39.9,heavy
2014-07-02,2014-07-02,1,11.0,heavy
2014-08-17,2014-08-17,1,13.5,heavy
