previous_event_end_date,current_event_start_date,interval_days
2006-07-27,2006-08-13,17
2007-06-14,2007-07-04,20
2007-07-04,2007-07-27,23
2007-07-27,2007-08-27,31
2008-06-14,2008-08-12,59
2009-06-04,2009-07-16,42
2009-07-16,2009-07-23,7
2009-07-23,2009-08-15,23
2009-08-15,2009-08-26,11
2010-07-04,2010-07-24,20
2010-07-25,2010-08-08,14
2011-06-13,2011-06-17,4
2011-06-17,2011-07-10,23
2011-07-10,2011-07-15,5
2011-07-15,2011-07-18,3
2011-07-18,2011-08-20,33
2012-07-15,2012-08-04,20
2012-08-04,2012-08-06,2
2012-08-06,2012-08-26,20
2012-08-26,2012-08-30,4
2013-07-09,2013-07-13,4
2013-07-13,2013-08-07,25
2014-07-02,2014-08-17,46
