start_date,end_date,magnitude_mm
2015-07-06,2015-07-06,11.6
2016-08-10,2016-08-10,11.3
2016-08-19,2016-08-19,12.8
2016-08-29,2016-08-29,15.0
2017-06-25,2017-06-25,11.7
2017-07-21,2017-07-21,16.5
2017-08-19,2017-08-19,12.2
2018-06-09,2018-06-09,10.2
2018-07-21,2018-07-21,17.8
2019-08-07,2019-08-07,11.1
2020-06-05,2020-06-06,29.0
2020-06-16,2020-06-16,11.0
2020-07-01,2020-07-01,13.8
2020-07-05,2020-07-05,13.4
2020-07-20,2020-07-20,15.9
2020-07-28,2020-07-28,19.2
2020-07-30,2020-07-30,15.2
2021-06-29,2021-06-29,11.1
2022-06-01,2022-06-01,10.0
2022-06-03,2022-06-03,11.3
2022-06-28,2022-06-28,15.4
2023-07-16,2023-07-16,10.0
2023-07-19,2023-07-19,11.3
2023-07-22,2023-07-22,10.3
2023-08-13,2023-08-13,16.4
2024-06-08,2024-06-08,10.8
2024-06-28,2024-06-28,14.2
2024-07-10,2024-07-10,15.4
2024-07-14,2024-07-14,12.8
2024-07-17,2024-07-17,13.1
2024-08-07,2024-08-07,13.6
