date,precip,year,month,season,heavy,extreme
2005-12-06 06:00:01,11.6,2005,12,Winter,True,False
2005-12-07 06:00:01,14.2,2005,12,Winter,True,False
2005-12-29 06:00:01,24.0,2005,12,Winter,True,True
2006-04-27 06:00:01,23.5,2006,4,Spring,True,True
2006-05-29 06:00:01,19.3,2006,5,Spring,True,False
2006-07-27 06:00:01,10.4,2006,7,Summer,True,False
2006-08-13 06:00:01,18.0,2006,8,Summer,True,False
2006-08-14 06:00:01,18.3,2006,8,Summer,True,False
2006-08-21 06:00:01,36.9,2006,8,Summer,True,True
2006-08-22 06:00:01,33.3,2006,8,Summer,True,True
2006-09-03 06:00:01,11.7,2006,9,Autumn,True,False
2006-09-07 06:00:01,11.0,2006,9,Autumn,True,False
2006-10-06 06:00:01,13.4,2006,10,Autumn,True,False
2006-10-20 06:00:01,23.6,2006,10,Autumn,True,True
2006-10-23 06:00:01,21.8,2006,10,Autumn,True,True
2006-10-24 06:00:01,14.3,2006,10,Autumn,True,False
2006-10-26 06:00:01,26.6,2006,10,Autumn,True,True
2006-10-31 06:00:01,61.8,2006,10,Autumn,True,True
2006-11-16 06:00:01,13.4,2006,11,Autumn,True,False
2007-02-19 06:00:01,11.4,2007,2,Winter,True,False
2007-05-17 06:00:01,13.5,2007,5,Spring,True,False
2007-06-14 06:00:01,10.6,2007,6,Summer,True,False
2007-07-04 06:00:01,11.5,2007,7,Summer,True,False
2007-07-27 06:00:01,10.3,2007,7,Summer,True,False
2007-08-27 06:00:01,10.2,2007,8,Summer,True,False
2007-09-03 06:00:01,24.2,2007,9,Autumn,True,True
2007-09-29 06:00:01,17.2,2007,9,Autumn,True,False
2007-11-29 06:00:01,20.9,2007,11,Autumn,True,True
2007-12-01 06:00:01,17.8,2007,12,Winter,True,False
2007-12-03 06:00:01,14.5,2007,12,Winter,True,False
2007-12-07 06:00:01,28.0,2007,12,Winter,True,True
2008-01-01 06:00:01,12.7,2008,1,Winter,True,False
2008-01-12 06:00:01,10.9,2008,1,Winter,True,False
2008-03-01 06:00:01,12.5,2008,3,Spring,True,False
2008-03-12 06:00:01,22.0,2008,3,Spring,True,True
2008-04-06 06:00:01,30.0,2008,4,Spring,True,True
2008-04-07 06:00:01,21.0,2008,4,Spring,True,True
2008-05-17 06:00:01,26.5,2008,5,Spring,True,True
2008-06-14 06:00:01,11.3,2008,6,Summer,True,False
2008-07-11 06:00:01,20.7,2008,7,Summer,True,True
2008-08-02 06:00:01,14.3,2008,8,Summer,True,False
2008-08-03 06:00:01,27.0,2008,8,Summer,True,True
2008-08-04 06:00:01,11.2,2008,8,Summer,True,False
2008-08-12 06:00:01,14.1,2008,8,Summer,True,False
2008-08-17 06:00:01,37.8,2008,8,Summer,True,True
2008-09-09 06:00:01,19.4,2008,9,Autumn,True,False
2008-09-30 06:00:01,24.0,2008,9,Autumn,True,True
2008-10-02 06:00:01,29.8,2008,10,Autumn,True,True
2008-11-29 06:00:01,10.8,2008,11,Autumn,True,False
2008-12-02 06:00:01,22.3,2008,12,Winter,True,True
