year,n_heavy,n_extreme,max_precip,mean_precip,total_days
2005,3,1,24.0,2.1327868852459018,61
2006,16,7,61.8,1.9750684931506848,365
2007,12,3,28.0,1.4438356164383561,365
2008,20,10,37.8,1.9568306010928962,366
2009,21,5,66.8,2.1241095890410957,365
2010,23,4,51.4,2.053972602739726,365
2011,20,4,35.8,1.647123287671233,365
2012,23,10,35.7,2.2530054644808746,366
2013,14,5,89.7,1.8010958904109589,365
2014,15,3,46.2,1.618082191780822,365
2015,12,7,49.7,1.5632876712328767,365
2016,14,3,44.3,1.784153005464481,366
2017,24,9,130.3,2.3983561643835616,365
2018,16,5,43.0,1.8052054794520547,365
2019,27,5,45.8,2.458082191780822,365
2020,24,8,36.2,2.0,366
2021,21,8,91.3,1.9134246575342466,365
2022,15,4,49.0,1.4997260273972601,365
2023,26,14,56.4,2.7465753424657535,365
2024,16,2,27.5,1.3871584699453552,366
2025,7,3,27.4,1.8366666666666664,90
