date,precip,year,month,season,heavy,extreme
2005-12-29 06:00:01,24.0,2005,12,Winter,True,True
2006-04-27 06:00:01,23.5,2006,4,Spring,True,True
2006-08-21 06:00:01,36.9,2006,8,Summer,True,True
2006-08-22 06:00:01,33.3,2006,8,Summer,True,True
2006-10-20 06:00:01,23.6,2006,10,Autumn,True,True
2006-10-23 06:00:01,21.8,2006,10,Autumn,True,True
2006-10-26 06:00:01,26.6,2006,10,Autumn,True,True
2006-10-31 06:00:01,61.8,2006,10,Autumn,True,True
2007-09-03 06:00:01,24.2,2007,9,Autumn,True,True
2007-11-29 06:00:01,20.9,2007,11,Autumn,True,True
2007-12-07 06:00:01,28.0,2007,12,Winter,True,True
2008-03-12 06:00:01,22.0,2008,3,Spring,True,True
2008-04-06 06:00:01,30.0,2008,4,Spring,True,True
2008-04-07 06:00:01,21.0,2008,4,Spring,True,True
2008-05-17 06:00:01,26.5,2008,5,Spring,True,True
2008-07-11 06:00:01,20.7,2008,7,Summer,True,True
2008-08-03 06:00:01,27.0,2008,8,Summer,True,True
2008-08-17 06:00:01,37.8,2008,8,Summer,True,True
2008-09-30 06:00:01,24.0,2008,9,Autumn,True,True
2008-10-02 06:00:01,29.8,2008,10,Autumn,True,True
2008-12-02 06:00:01,22.3,2008,12,Winter,True,True
2009-01-24 06:00:01,30.7,2009,1,Winter,True,True
2009-06-14 06:00:01,40.2,2009,6,Summer,True,True
2009-07-09 06:00:01,66.8,2009,7,Summer,True,True
2009-07-12 06:00:01,20.4,2009,7,Summer,True,True
2009-12-20 06:00:01,22.4,2009,12,Winter,True,True
2010-01-27 06:00:01,22.4,2010,1,Winter,True,True
2010-05-13 06:00:01,20.2,2010,5,Spring,True,True
2010-06-12 06:00:01,51.4,2010,6,Summer,True,True
2010-08-24 06:00:01,37.4,2010,8,Summer,True,True
2011-02-10 06:00:01,35.8,2011,2,Winter,True,True
2011-07-23 06:00:01,24.4,2011,7,Summer,True,True
2011-08-07 06:00:01,27.7,2011,8,Summer,True,True
2011-09-19 06:00:01,21.6,2011,9,Autumn,True,True
2012-04-20 06:00:01,21.9,2012,4,Spring,True,True
2012-06-02 06:00:01,30.7,2012,6,Summer,True,True
2012-06-29 06:00:01,22.0,2012,6,Summer,True,True
2012-07-08 06:00:01,24.1,2012,7,Summer,True,True
2012-07-09 06:00:01,23.0,2012,7,Summer,True,True
2012-09-22 06:00:01,22.5,2012,9,Autumn,True,True
2012-09-26 06:00:01,24.8,2012,9,Autumn,True,True
2012-10-15 06:00:01,35.7,2012,10,Autumn,True,True
2012-11-30 06:00:01,31.9,2012,11,Autumn,True,True
2012-12-06 06:00:01,28.0,2012,12,Winter,True,True
2013-01-16 06:00:01,22.3,2013,1,Winter,True,True
2013-06-04 06:00:01,24.8,2013,6,Summer,True,True
2013-08-11 06:00:01,88.9,2013,8,Summer,True,True
2013-08-31 06:00:01,89.7,2013,8,Summer,True,True
2013-12-05 06:00:01,25.0,2013,12,Winter,True,True
2014-05-30 06:00:01,22.3,2014,5,Spring,True,True
2014-07-13 06:00:01,22.4,2014,7,Summer,True,True
2014-10-07 06:00:01,46.2,2014,10,Autumn,True,True
2015-01-10 06:00:01,38.5,2015,1,Winter,True,True
2015-01-31 06:00:01,49.7,2015,1,Winter,True,True
2015-05-30 06:00:01,27.0,2015,5,Spring,True,True
2015-07-08 06:00:01,21.5,2015,7,Summer,True,True
2015-07-25 06:00:01,21.6,2015,7,Summer,True,True
2015-07-26 06:00:01,21.0,2015,7,Summer,True,True
2015-09-02 06:00:01,26.0,2015,9,Autumn,True,True
2016-01-11 06:00:01,39.8,2016,1,Winter,True,True
2016-05-26 06:00:01,44.3,2016,5,Spring,True,True
2016-07-11 06:00:01,28.1,2016,7,Summer,True,True
2017-04-24 06:00:01,28.3,2017,4,Spring,True,True
2017-04-25 06:00:01,25.0,2017,4,Spring,True,True
2017-08-04 06:00:01,130.3,2017,8,Summer,True,True
2017-08-05 06:00:01,22.3,2017,8,Summer,True,True
2017-09-09 06:00:01,24.5,2017,9,Autumn,True,True
2017-10-09 06:00:01,21.8,2017,10,Autumn,True,True
2017-10-12 06:00:01,39.2,2017,10,Autumn,True,True
2017-11-22 06:00:01,29.7,2017,11,Autumn,True,True
2017-11-28 06:00:01,35.5,2017,11,Autumn,True,True
2018-01-31 06:00:01,33.4,2018,1,Winter,True,True
2018-02-01 06:00:01,39.8,2018,2,Winter,True,True
2018-06-21 06:00:01,30.2,2018,6,Summer,True,True
2018-07-29 06:00:01,38.8,2018,7,Summer,True,True
2018-10-30 06:00:01,43.0,2018,10,Autumn,True,True
2019-02-01 06:00:01,25.6,2019,2,Winter,True,True
2019-03-17 06:00:01,23.3,2019,3,Spring,True,True
2019-06-13 06:00:01,45.8,2019,6,Summer,True,True
2019-07-16 06:00:01,22.9,2019,7,Summer,True,True
2019-11-16 06:00:01,22.8,2019,11,Autumn,True,True
2020-01-29 06:00:01,20.2,2020,1,Winter,True,True
2020-03-01 06:00:01,28.0,2020,3,Spring,True,True
2020-03-03 06:00:01,25.0,2020,3,Spring,True,True
2020-03-04 06:00:01,36.2,2020,3,Spring,True,True
2020-05-01 06:00:01,20.4,2020,5,Spring,True,True
2020-09-26 06:00:01,23.0,2020,9,Autumn,True,True
2020-10-04 06:00:01,20.1,2020,10,Autumn,True,True
2020-10-06 06:00:01,34.6,2020,10,Autumn,True,True
2021-01-11 06:00:01,20.2,2021,1,Winter,True,True
2021-01-20 06:00:01,20.5,2021,1,Winter,True,True
2021-06-11 06:00:01,25.6,2021,6,Summer,True,True
2021-06-21 06:00:01,22.6,2021,6,Summer,True,True
2021-08-07 06:00:01,34.7,2021,8,Summer,True,True
2021-08-17 06:00:01,91.3,2021,8,Summer,True,True
2021-08-26 06:00:01,27.4,2021,8,Summer,True,True
2021-09-23 06:00:01,23.7,2021,9,Autumn,True,True
2022-01-29 06:00:01,21.2,2022,1,Winter,True,True
2022-04-07 06:00:01,21.3,2022,4,Spring,True,True
2022-07-01 06:00:01,49.0,2022,7,Summer,True,True
2022-12-09 06:00:01,24.0,2022,12,Winter,True,True
2023-02-20 06:00:01,28.7,2023,2,Winter,True,True
2023-07-01 06:00:01,51.4,2023,7,Summer,True,True
2023-07-04 06:00:01,27.1,2023,7,Summer,True,True
2023-07-25 06:00:01,42.1,2023,7,Summer,True,True
2023-08-06 06:00:01,56.4,2023,8,Summer,True,True
2023-08-22 06:00:01,30.3,2023,8,Summer,True,True
2023-08-26 06:00:01,32.7,2023,8,Summer,True,True
2023-09-01 06:00:01,28.5,2023,9,Autumn,True,True
2023-10-06 06:00:01,23.8,2023,10,Autumn,True,True
2023-10-30 06:00:01,38.5,2023,10,Autumn,True,True
2023-10-31 06:00:01,23.2,2023,10,Autumn,True,True
2023-11-03 06:00:01,39.3,2023,11,Autumn,True,True
2023-11-04 06:00:01,22.6,2023,11,Autumn,True,True
2023-11-09 06:00:01,26.2,2023,11,Autumn,True,True
2024-02-13 06:00:01,21.5,2024,2,Winter,True,True
2024-10-10 06:00:01,27.5,2024,10,Autumn,True,True
2025-01-07 06:00:01,22.6,2025,1,Winter,True,True
2025-01-09 06:00:01,27.4,2025,1,Winter,True,True
2025-01-29 06:00:01,24.0,2025,1,Winter,True,True
