Observation based data:
The summer (jun, jul, aug) days with extreme precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The summer days with extreme precipitation for Gävleborg County.
The calculations are based on an ensemble of 27 climate model runs, all for the RCP2,6 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_GERICS-REMO2015_v2,NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-6_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,MOHC-HadGEM2-ES_r1i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,MIROC-MIROC5_r1i1p1_GERICS-REMO2015_v1,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,MIROC-MIROC5_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r12i1p1_MOHC-HadREM3-GA7-05_v1,MPI-M-MPI-ESM-LR_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-6_v1

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The summer (jun, jul, aug) days with extreme precipitation, days.
Column 3: Ensemble, mean value. The summer days with extreme precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";1.4;0.7;2.3
"1952";"";1.6;0.6;2.8
"1953";"";1.7;0.6;3.1
"1954";"";1.7;1.1;2.4
"1955";"";1.1;0.4;2.4
"1956";"";1.9;0.7;3.1
"1957";"";1.6;0.6;2.6
"1958";"";1.8;0.3;3.4
"1959";"";1.4;0.4;2.5
"1960";"";1.6;0.8;2.6
"1961";2.2;1.4;0.6;2.6
"1962";0.6;1.6;0.7;2.6
"1963";0.7;1.4;0.5;2.5
"1964";1.9;2;0.9;2.9
"1965";2;1.7;0.9;2.7
"1966";2.9;1.4;0.8;2.1
"1967";0.4;1.5;0.7;2.6
"1968";2.5;1;0.1;1.7
"1969";2.6;1.4;0.5;2
"1970";1.1;1.3;0.4;2.4
"1971";1.6;1.8;0.6;2.9
"1972";1.1;1.6;0.7;2.9
"1973";1.8;1.1;0.2;2.5
"1974";1.3;1.7;0.8;3.1
"1975";1;2;0.8;2.7
"1976";1.2;1.6;0.5;3.2
"1977";1.1;1.6;0.5;2.9
"1978";2.3;1.4;0.6;2.3
"1979";1.2;1.5;0.9;2.8
"1980";2.1;1.6;0.6;2.8
"1981";3.4;1.3;0.6;2.3
"1982";0.5;1.5;0.6;2.6
"1983";0;1.9;1;3.1
"1984";1.1;1.6;0.6;2.3
"1985";2.9;1.5;0.8;2.3
"1986";3.3;1.5;0.8;2.4
"1987";1.9;1.7;0.7;2.8
"1988";0.4;1.4;0.8;1.9
"1989";1.2;1.7;0.7;2.8
"1990";1;1.6;0.7;2.6
"1991";1.8;1.6;0.5;3
"1992";1.4;1.3;0.6;2.4
"1993";1.9;1.5;0.5;2.6
"1994";0.7;1.6;0.4;3.1
"1995";1.9;1.9;0.9;2.9
"1996";1.2;1.6;0.4;2.7
"1997";0.9;1.6;0.6;2.8
"1998";2.2;1.9;0.8;2.9
"1999";1.4;1.7;0.7;2.8
"2000";3.3;2;0.8;3.6
"2001";1.4;2.3;1;4.1
"2002";1.5;1.9;0.7;3.2
"2003";1.8;1.5;0.7;2.3
"2004";0.9;1.8;0.6;3.3
"2005";3.1;1.5;0.7;2.8
"2006";2.9;2.1;0.8;3.4
"2007";0.3;1.8;0.6;3
"2008";0.8;2.2;0.9;3.6
"2009";4.1;2;1;3.1
"2010";2.4;1.8;0.7;3.4
"2011";1.6;1.8;0.8;2.7
"2012";2.8;1.9;0.9;3.1
"2013";1.7;1.7;0.6;2.9
"2014";0.7;1.7;0.6;3.2
"2015";2;1.9;0.6;3
"2016";0.3;1.7;0.8;2.6
"2017";1.6;2;0.6;3.3
"2018";1.3;2;0.7;3.3
"2019";"";2.1;0.7;3.2
"2020";"";1.6;0.8;2.6
"2021";"";2;0.8;3.2
"2022";"";2.4;1;3.6
"2023";"";1.7;0.7;2.8
"2024";"";2;0.5;3.2
"2025";"";1.9;0.6;3.3
"2026";"";1.6;0.6;3.1
"2027";"";2.1;0.8;3.2
"2028";"";1.6;0.5;3
"2029";"";2;1;3
"2030";"";1.8;0.8;3.1
"2031";"";1.5;0.6;2.5
"2032";"";1.6;0.7;2.7
"2033";"";1.5;0.6;2.5
"2034";"";2;0.6;3.4
"2035";"";1.7;0.6;2.5
"2036";"";1.9;1;2.9
"2037";"";2.2;0.9;3.5
"2038";"";1.8;1;2.6
"2039";"";2.2;1.2;2.9
"2040";"";1.5;0.4;2.8
"2041";"";1.6;0.7;2.5
"2042";"";2.1;1;3.8
"2043";"";1.9;0.9;3.1
"2044";"";2;0.8;3.3
"2045";"";2.4;1;4.1
"2046";"";2.6;0.9;4.1
"2047";"";1.6;0.5;3.1
"2048";"";2.3;0.9;4.1
"2049";"";1.8;0.7;3.3
"2050";"";2;0.7;3.3
"2051";"";2;0.6;3.5
"2052";"";1.7;0.3;3.1
"2053";"";1.7;0.5;2.7
"2054";"";1.8;0.7;3.3
"2055";"";1.9;0.5;3.1
"2056";"";1.9;0.6;3.1
"2057";"";2.1;1;3.4
"2058";"";2.2;0.6;3.8
"2059";"";2;0.8;3.4
"2060";"";2.2;1.1;3.6
"2061";"";2.2;0.9;3.5
"2062";"";1.9;0.5;3.5
"2063";"";2;0.9;3.4
"2064";"";2;1;2.8
"2065";"";1.7;0.7;3
"2066";"";2;1;3
"2067";"";1.8;1;3
"2068";"";1.7;0.7;3
"2069";"";2;0.7;3.7
"2070";"";1.6;0.6;2.7
"2071";"";1.9;0.9;2.9
"2072";"";2.5;1.1;3.7
"2073";"";1.9;0.5;3.1
"2074";"";2;1.2;3
"2075";"";2;0.7;3.7
"2076";"";1.9;0.6;3.3
"2077";"";2.5;0.9;4.1
"2078";"";1.6;0.5;2.9
"2079";"";1.5;0.6;2.3
"2080";"";1.8;1;3.1
"2081";"";2.1;0.8;3.2
"2082";"";1.7;0.4;3.5
"2083";"";2.2;1.2;3.1
"2084";"";2.3;0.9;4
"2085";"";2;0.5;3.7
"2086";"";2.2;0.6;3.8
"2087";"";2.6;1.3;4.2
"2088";"";2.2;0.7;3.4
"2089";"";1.9;0.5;2.9
"2090";"";2.2;1.1;3.8
"2091";"";2.3;1.1;3.8
"2092";"";1.9;0.6;2.6
"2093";"";2.1;1.1;3.3
"2094";"";2;0.7;3.2
"2095";"";1.8;0.8;2.7
"2096";"";2;1;2.8
"2097";"";1.5;0.8;2.5
"2098";"";2;0.7;3.4
"2099";"";1.7;0.4;3.3
