Observation based data:
The summer (jun, jul, aug) days with extreme precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The summer days with extreme precipitation for Gävleborg County.
The calculations are based on an ensemble of 22 climate model runs, all for the RCP4,5 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,IPSL-IPSL-CM5A-MR_r1i1p1_IPSL-WRF381P_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,NCC-NorESM1-M_r1i1p1_DMI-HIRHAM5_v3,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The summer (jun, jul, aug) days with extreme precipitation, days.
Column 3: Ensemble, mean value. The summer days with extreme precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";1.5;0.7;2.2
"1952";"";1.5;0.6;2.4
"1953";"";1.5;0.4;3.4
"1954";"";1.8;1;2.7
"1955";"";1.3;0.4;2.7
"1956";"";2;0.8;3.2
"1957";"";1.6;0.6;2.7
"1958";"";1.8;0.5;4
"1959";"";1.1;0.3;1.9
"1960";"";1.5;0.8;2.8
"1961";2.2;1.4;0.7;2.3
"1962";0.6;1.5;0.3;2.5
"1963";0.7;1.3;0.6;2
"1964";1.9;1.6;0.9;2.6
"1965";2;1.9;0.9;2.8
"1966";2.9;1.6;0.9;2.2
"1967";0.4;1.4;0.6;2.5
"1968";2.5;1.2;0.5;2
"1969";2.6;1.4;0.6;2.3
"1970";1.1;1.2;0.4;2.5
"1971";1.6;1.8;0.8;2.8
"1972";1.1;1.5;0.8;2.7
"1973";1.8;1.1;0.4;2.3
"1974";1.3;1.6;0.4;3.2
"1975";1;1.7;0.8;2.6
"1976";1.2;1.4;0.3;2.5
"1977";1.1;1.6;0.5;2.8
"1978";2.3;1.2;0.6;1.7
"1979";1.2;1.4;0.9;2.6
"1980";2.1;1.6;0.7;3
"1981";3.4;1.4;0.7;2.2
"1982";0.5;1.5;0.7;2.5
"1983";0;1.9;0.9;2.9
"1984";1.1;1.5;0.6;2.1
"1985";2.9;1.5;0.9;2.6
"1986";3.3;1.5;0.6;2.3
"1987";1.9;1.7;0.6;2.8
"1988";0.4;1.5;0.6;2
"1989";1.2;1.7;0.6;2.8
"1990";1;1.6;0.9;2.2
"1991";1.8;1.5;0.5;3
"1992";1.4;1.4;0.5;2.6
"1993";1.9;1.4;0.5;2.3
"1994";0.7;1.6;0.4;3
"1995";1.9;1.6;0.6;2.5
"1996";1.2;1.7;0.4;2.7
"1997";0.9;1.5;0.4;2.7
"1998";2.2;1.8;0.9;2.9
"1999";1.4;1.9;0.7;2.9
"2000";3.3;2;0.8;3.4
"2001";1.4;2.2;1;3.9
"2002";1.5;2.2;1.1;3.7
"2003";1.8;1.4;0.7;2.2
"2004";0.9;1.7;0.6;2.7
"2005";3.1;1.2;0.6;2.1
"2006";2.9;2.1;0.9;3.3
"2007";0.3;1.3;0.4;2.3
"2008";0.8;1.5;0.6;2.7
"2009";4.1;2.3;1;3.8
"2010";2.4;2.2;1.4;3.9
"2011";1.6;1.7;0.5;2.9
"2012";2.8;1.8;0.7;2.7
"2013";1.7;1.6;0.7;2.5
"2014";0.7;2;0.6;3.6
"2015";2;2.2;1;3.3
"2016";0.3;1.9;0.8;3.2
"2017";1.6;2.1;1.2;3
"2018";1.3;1.9;0.5;2.9
