Observation based data:
The summer (jun, jul, aug) days with extreme precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The summer days with extreme precipitation for Gävleborg County.
The calculations are based on an ensemble of 61 climate model runs, all for the RCP8,5 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
ICHEC-EC-EARTH_r3i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_CNRM-ALADIN63_v1,ICHEC-EC-EARTH_r12i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r2i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_CNRM-ALADIN63_v1,NCC-NorESM1-M_r1i1p1_DMI-HIRHAM5_v3,IPSL-IPSL-CM5A-MR_r1i1p1_IPSL-WRF381P_v1,MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_IPSL-WRF381P_v2,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a,MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,IPSL-IPSL-CM5A-MR_r1i1p1_DMI-HIRHAM5_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,ICHEC-EC-EARTH_r3i1p1_SMHI-RCA4_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_DMI-HIRHAM5_v2,MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r3i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r12i1p1_IPSL-WRF381P_v1,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r12i1p1_DMI-HIRHAM5_v1,ICHEC-EC-EARTH_r12i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r12i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_MOHC-HadREM3-GA7-05_v1,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_GERICS-REMO2015_v2,MPI-M-MPI-ESM-LR_r1i1p1_IPSL-WRF381P_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,IPSL-IPSL-CM5A-MR_r1i1p1_KNMI-RACMO22E_v1,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_IPSL-WRF381P_v1,IPSL-IPSL-CM5A-MR_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_CNRM-ALADIN63_v1,NCC-NorESM1-M_r1i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22E_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,MPI-M-MPI-ESM-LR_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-6_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_KNMI-RACMO22E_v1,MPI-M-MPI-ESM-LR_r2i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MPI-M-MPI-ESM-LR_r1i1p1_DMI-HIRHAM5_v1,MIROC-MIROC5_r1i1p1_CLMcom-CCLM4-8-17_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r1i1p1_DMI-HIRHAM5_v1,ICHEC-EC-EARTH_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MPI-M-MPI-ESM-LR_r1i1p1_MOHC-HadREM3-GA7-05_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MIROC-MIROC5_r1i1p1_GERICS-REMO2015_v1

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The summer (jun, jul, aug) days with extreme precipitation, days.
Column 3: Ensemble, mean value. The summer days with extreme precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";1.5;0.7;2.4
"1952";"";1.6;0.5;3
"1953";"";1.6;0.5;3
"1954";"";1.9;0.7;2.9
"1955";"";1.4;0.4;2.8
"1956";"";1.9;0.7;3.1
"1957";"";1.6;0.6;2.7
"1958";"";1.8;0.6;3.4
"1959";"";1.2;0.4;2.2
"1960";"";1.3;0.5;2.5
"1961";2.2;1.6;0.6;2.9
"1962";0.6;1.5;0.5;2.4
"1963";0.7;1.5;0.5;2.7
"1964";1.9;1.8;0.8;3
"1965";2;1.6;0.5;2.7
"1966";2.9;1.4;0.4;2.3
"1967";0.4;1.5;0.6;2.7
"1968";2.5;1.3;0.5;2.2
"1969";2.6;1.5;0.5;2.5
"1970";1.1;1.4;0.4;2.7
"1971";1.6;1.6;0.5;2.9
"1972";1.1;1.6;0.6;2.8
"1973";1.8;1.3;0.3;2.6
"1974";1.3;1.7;0.7;3.1
"1975";1;1.7;0.6;2.6
"1976";1.2;1.6;0.4;2.8
"1977";1.1;1.8;0.6;3.1
"1978";2.3;1.2;0.4;1.9
"1979";1.2;1.5;0.9;2.6
"1980";2.1;1.6;0.6;2.9
"1981";3.4;1.4;0.6;2.4
"1982";0.5;1.5;0.6;2.6
"1983";0;2;0.9;3.4
"1984";1.1;1.5;0.5;2.8
"1985";2.9;1.5;0.6;2.6
"1986";3.3;1.4;0.7;2.3
"1987";1.9;1.6;0.6;2.8
"1988";0.4;1.4;0.5;2.3
"1989";1.2;1.6;0.7;2.7
"1990";1;1.8;0.5;3.2
"1991";1.8;1.6;0.6;3
"1992";1.4;1.5;0.7;2.7
"1993";1.9;1.4;0.5;2.5
"1994";0.7;1.5;0.4;2.8
"1995";1.9;1.7;0.6;2.8
"1996";1.2;1.8;0.6;2.7
"1997";0.9;1.6;0.6;2.6
"1998";2.2;1.7;0.6;2.9
"1999";1.4;1.7;0.5;2.9
"2000";3.3;1.8;0.6;3.3
"2001";1.4;2.1;1;3.6
"2002";1.5;2;0.8;3.1
"2003";1.8;1.5;0.6;2.6
"2004";0.9;1.7;0.6;2.9
"2005";3.1;1.5;0.5;2.9
"2006";2.9;2;0.8;3.1
"2007";0.3;1.8;0.8;3.1
"2008";0.8;2;0.9;3.4
"2009";4.1;1.8;0.5;3.4
"2010";2.4;1.4;0.5;2.5
"2011";1.6;2;1;3.3
"2012";2.8;1.8;0.6;3.1
"2013";1.7;2;0.9;2.9
"2014";0.7;1.6;0.6;2.6
"2015";2;1.8;0.6;3.1
"2016";0.3;1.7;0.9;2.9
"2017";1.6;1.8;0.7;3.2
"2018";1.3;2;0.7;3.6
"2019";"";2.1;1;3.5
"2020";"";2.2;0.7;3.8
"2021";"";1.6;0.5;3.1
"2022";"";1.9;0.8;3.2
"2023";"";1.9;0.7;3.3
"2024";"";2;0.9;3.3
"2025";"";1.6;0.5;2.4
"2026";"";1.9;0.8;3.3
"2027";"";1.8;0.9;3
"2028";"";2;0.7;3.3
"2029";"";2.1;0.8;3.3
"2030";"";1.5;0.6;2.6
"2031";"";1.9;0.8;3.6
"2032";"";1.7;0.5;2.9
"2033";"";2.1;0.9;3.5
"2034";"";1.8;0.5;3.4
"2035";"";2;0.9;3.1
"2036";"";2;0.8;3.4
"2037";"";2.1;0.8;3.2
"2038";"";2.4;0.6;4.8
"2039";"";1.8;0.5;3.2
"2040";"";2.1;0.9;3.3
"2041";"";1.9;0.6;3.3
"2042";"";2.2;0.9;3.8
"2043";"";2.6;1.3;4.1
"2044";"";2.1;0.9;3.3
"2045";"";2.1;1;3.5
"2046";"";1.9;0.7;3.4
"2047";"";1.8;0.7;2.9
"2048";"";1.7;0.8;2.5
"2049";"";2.2;0.8;3.6
"2050";"";1.7;0.6;2.9
"2051";"";2.4;1;4.8
"2052";"";2.1;1.1;3.6
"2053";"";1.8;0.8;2.8
"2054";"";2.2;0.7;3.9
"2055";"";2.2;0.9;4.2
"2056";"";2.3;0.9;3.8
"2057";"";2.1;0.6;4
"2058";"";1.7;0.6;2.9
"2059";"";2.2;1;3.8
"2060";"";1.8;0.6;3.3
"2061";"";1.6;0.5;2.8
"2062";"";2;0.7;3.3
"2063";"";1.6;0.7;2.7
"2064";"";2.6;1.1;3.9
"2065";"";1.9;0.8;3.5
"2066";"";2.2;0.8;3.8
"2067";"";2.5;1;4.2
"2068";"";2;1;3.3
"2069";"";2.1;0.8;3.5
"2070";"";2.2;0.6;3.9
"2071";"";2.2;0.8;3.8
"2072";"";2.6;1.3;4.3
"2073";"";1.9;0.8;3.3
"2074";"";2.3;1;3.5
"2075";"";2.3;1.2;3.6
"2076";"";2.1;0.8;3.7
"2077";"";2.1;1;3.6
"2078";"";2.4;0.6;4.6
"2079";"";2.3;0.8;4
"2080";"";2;1;3.3
"2081";"";2;0.7;3.6
"2082";"";2.3;0.8;4.1
"2083";"";2.3;0.9;4.1
"2084";"";2.8;1.4;4.4
"2085";"";2.3;0.8;4.1
"2086";"";2.3;0.8;3.9
"2087";"";2.8;1;4.5
"2088";"";2.4;1.1;4.1
"2089";"";2.3;0.7;3.9
"2090";"";2.4;0.8;4.1
"2091";"";2;0.7;3.9
"2092";"";2.4;1;4.1
"2093";"";2.2;1;3.7
"2094";"";2.6;1;4.7
"2095";"";3.2;1.2;5.4
"2096";"";2.3;0.8;4.3
"2097";"";2.5;1.1;4.3
"2098";"";2.6;1.2;4.1
"2099";"";2.8;1;5
