Observation based data:
The winter (dec, jan, feb) days with heavy precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The winter days with heavy precipitation for Gävleborg County.
The calculations are based on an ensemble of 27 climate model runs, all for the RCP2,6 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_GERICS-REMO2015_v2,NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-6_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,MOHC-HadGEM2-ES_r1i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,MIROC-MIROC5_r1i1p1_GERICS-REMO2015_v1,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,MIROC-MIROC5_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r12i1p1_MOHC-HadREM3-GA7-05_v1,MPI-M-MPI-ESM-LR_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-6_v1

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The winter (dec, jan, feb) days with heavy precipitation, days.
Column 3: Ensemble, mean value. The winter days with heavy precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";1.2;0.3;2.3
"1952";"";1.5;0.6;2.7
"1953";"";2.1;1;2.9
"1954";"";2.3;0.4;3.7
"1955";"";2.4;1.4;3.8
"1956";"";2.3;1.5;3.6
"1957";"";1.6;0.4;3.1
"1958";"";1.8;0.2;3.1
"1959";"";1.6;0.4;2.8
"1960";"";1.7;0.2;3.6
"1961";0.9;1.6;0.6;2.9
"1962";2.9;2.2;0.6;3.9
"1963";1.1;1.7;0.6;3.1
"1964";0.3;1.8;0.4;3.7
"1965";1.9;2;0.3;4.1
"1966";4.4;1.3;0.5;1.9
"1967";6.7;2;1;3.1
"1968";1.2;2;0.7;3.2
"1969";1.4;2.5;1.4;3.2
"1970";0.1;1.3;0.1;2.6
"1971";1.6;2.8;0.7;5
"1972";0.2;1.9;1.1;2.7
"1973";1.2;1.8;0.3;3.6
"1974";2.3;1.8;0.5;3.1
"1975";0.8;2.1;0.8;3.7
"1976";1.8;2.1;0.4;4.4
"1977";5.7;2.5;1.4;3.6
"1978";1.2;1.8;0.7;3.2
"1979";0.6;1.9;0.3;3.6
"1980";0.1;2;0.3;3.5
"1981";1.1;1.9;0.3;3.5
"1982";3.1;1.8;0.6;3.4
"1983";2.3;2;0.9;3.1
"1984";1.5;1.5;0.7;2.5
"1985";2.9;1.7;0.4;2.9
"1986";2;2.7;1.1;4.5
"1987";3.4;2.3;1;4.6
"1988";1.9;2.4;0.6;3.9
"1989";2.6;1.3;0.3;2.6
"1990";3;2.3;1;3.5
"1991";1.1;2.1;0.6;3.5
"1992";0.8;2.4;1;3.9
"1993";0.9;2.5;1.4;3.6
"1994";3.1;2;1;3.4
"1995";2.6;1.5;0.6;2.5
"1996";0;2.3;0.7;4.1
"1997";0.8;1.6;0.7;2.2
"1998";2.4;2;0.7;3.2
"1999";1.5;2.5;0.8;4.1
"2000";3.5;1.8;0.7;3.3
"2001";3.4;2.1;0.5;3.5
"2002";3.4;1.9;1;2.8
"2003";0.2;1.9;0.9;3.2
"2004";0.5;2.3;0.9;4.1
"2005";1.4;2.2;0.2;5.1
"2006";1.2;2.8;0.6;5.3
"2007";0.7;2.1;0.8;3.4
"2008";3.3;2.8;0.6;4.9
"2009";2.5;2.2;1.1;3
"2010";2.4;2.5;0.8;3.5
"2011";2.2;2.2;1.2;4
"2012";2.4;3.2;0.4;5.2
"2013";2.1;2.8;1.3;4.8
"2014";1.7;3.3;1.5;5.4
"2015";3.2;2;1;2.9
"2016";2.1;2.6;0.8;5.1
"2017";0.5;2;1;3.9
"2018";3.1;2.7;1.1;4.6
"2019";"";2.5;1;3.7
"2020";"";1.4;0.6;2.3
"2021";"";2.6;0.9;4.9
"2022";"";2;1;3.3
"2023";"";2.3;1.1;3.4
"2024";"";2.1;1;3.4
"2025";"";2.4;1.1;3.6
"2026";"";1.9;0.7;3
"2027";"";2.8;0.8;4.7
"2028";"";3;1;7.8
"2029";"";2.3;0.8;4.1
"2030";"";2.3;1;4.3
"2031";"";2.4;0.7;4.7
"2032";"";1.9;0.8;2.8
"2033";"";3.3;1.2;5.9
"2034";"";2.9;1.4;5
"2035";"";2.6;1.2;4.4
"2036";"";2.3;0.7;5.7
"2037";"";2.5;0.9;4.2
"2038";"";3.3;1.7;5.2
"2039";"";2.7;1.3;4.8
"2040";"";3;1.6;4.7
"2041";"";2.5;1.3;3.7
"2042";"";2.7;1.3;3.8
"2043";"";2.1;1;3.9
"2044";"";2.6;1;4.5
"2045";"";3;0.7;6
"2046";"";2.9;1.3;4.1
"2047";"";2.5;1;4.2
"2048";"";2.7;1.4;3.8
"2049";"";2;0.5;3.6
"2050";"";3;1;5.5
"2051";"";2.2;0.6;3.7
"2052";"";2.8;1.1;5.2
"2053";"";2.3;1.2;4.2
"2054";"";3;1.3;4.4
"2055";"";3.3;0.9;5.7
"2056";"";3.3;1.3;5.5
"2057";"";2.8;1.2;4.8
"2058";"";2;0.7;3.4
"2059";"";3.9;1.3;6.3
"2060";"";2.8;1.4;4.5
"2061";"";3;0.7;5.2
"2062";"";3.1;1.9;4.6
"2063";"";2.9;0.9;5.4
"2064";"";2.4;1;4.1
"2065";"";1.9;0.6;3.5
"2066";"";2.5;0.7;5.9
"2067";"";3;1.6;4.9
"2068";"";2.7;0.9;4.1
"2069";"";3;0.9;4.7
"2070";"";2.8;1;4.3
"2071";"";1.9;0.6;3.5
