Observation based data:
The winter (dec, jan, feb) days with heavy precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The winter days with heavy precipitation for Gävleborg County.
The calculations are based on an ensemble of 22 climate model runs, all for the RCP4,5 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,IPSL-IPSL-CM5A-MR_r1i1p1_IPSL-WRF381P_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,NCC-NorESM1-M_r1i1p1_DMI-HIRHAM5_v3,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The winter (dec, jan, feb) days with heavy precipitation, days.
Column 3: Ensemble, mean value. The winter days with heavy precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";1.2;0.1;2.3
"1952";"";1.6;0.4;3
"1953";"";2;0.8;3.2
"1954";"";2;0.4;3.5
"1955";"";2.6;1.4;3.9
"1956";"";2.1;1.1;3.4
"1957";"";1.9;0.6;3.1
"1958";"";2;0.4;3.1
"1959";"";1.8;0.6;3.2
"1960";"";1.6;0.3;3.2
"1961";0.9;2;0.7;3.6
"1962";2.9;2.4;0.8;4.6
"1963";1.1;1.8;0.8;3
"1964";0.3;1.9;0.6;3.2
"1965";1.9;2.5;0.6;4.9
"1966";4.4;1.2;0.2;1.9
"1967";6.7;1.8;0.4;3.2
"1968";1.2;2;0.7;2.9
"1969";1.4;2.4;1.4;3.5
"1970";0.1;1.5;0.1;3.1
"1971";1.6;3;1.6;5.4
"1972";0.2;1.8;1;2.6
"1973";1.2;1.8;0.3;3.5
"1974";2.3;1.8;0.5;2.9
"1975";0.8;2.4;1.2;3.7
"1976";1.8;2.3;0.5;5.3
"1977";5.7;2.5;1.8;3.5
"1978";1.2;1.8;0.8;2.9
"1979";0.6;1.8;0.3;3.6
"1980";0.1;2.3;1;3.9
"1981";1.1;1.7;0.3;3.2
"1982";3.1;1.7;0.7;3.4
"1983";2.3;1.9;0.7;3.1
"1984";1.5;1.5;0.7;2
"1985";2.9;1.5;0.3;2.8
"1986";2;2.8;0.9;4.5
"1987";3.4;2.2;0.9;4.5
"1988";1.9;2.4;1.1;4.1
"1989";2.6;1.4;0.4;2.2
"1990";3;2.3;1.2;4.1
"1991";1.1;2;0.5;3.9
"1992";0.8;2.4;1.1;4.2
"1993";0.9;2.5;1.1;3.7
"1994";3.1;2.3;1;3.7
"1995";2.6;1.5;0.6;2.3
"1996";0;2.5;0.8;4.2
"1997";0.8;1.6;0.8;2.6
"1998";2.4;1.7;0.4;2.7
"1999";1.5;2.6;1.1;4.1
"2000";3.5;2.1;0.8;3.4
"2001";3.4;1.7;0.4;3
"2002";3.4;2;0.4;2.7
"2003";0.2;1.8;0.9;3.1
"2004";0.5;2.2;1.1;3.7
"2005";1.4;2.2;0.4;5.1
"2006";1.2;2.9;1;5.4
"2007";0.7;2.5;1.1;3.8
"2008";3.3;2;0.5;3.6
"2009";2.5;2.1;1;3.3
"2010";2.4;2.5;1.1;3.9
"2011";2.2;2.3;1.2;3.7
"2012";2.4;2.6;1;4.1
"2013";2.1;3;1.1;4.4
"2014";1.7;2.3;1.2;3.7
"2015";3.2;2.8;0.7;5.4
"2016";2.1;2.7;1;5
"2017";0.5;2.2;0.8;4.1
"2018";3.1;3.6;0.8;6.9
"2019";"";2.3;1.1;3.8
