Observation based data:
The summer (jun, jul, aug) days with heavy precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The summer days with heavy precipitation for Gävleborg County.
The calculations are based on an ensemble of 22 climate model runs, all for the RCP4,5 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,IPSL-IPSL-CM5A-MR_r1i1p1_IPSL-WRF381P_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,NCC-NorESM1-M_r1i1p1_DMI-HIRHAM5_v3,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The summer (jun, jul, aug) days with heavy precipitation, days.
Column 3: Ensemble, mean value. The summer days with heavy precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";6;4;8.2
"1952";"";6.8;5.2;8.8
"1953";"";6.2;3.6;10.8
"1954";"";6.9;4.1;9.4
"1955";"";5.2;2.5;8.7
"1956";"";7.4;4.7;9.8
"1957";"";6.6;4.6;9.1
"1958";"";6.7;3.8;12.1
"1959";"";5.1;2.9;7.4
"1960";"";6.3;3.5;9.4
"1961";7.1;5.9;4;7.8
"1962";4.3;6.6;4.3;8.9
"1963";3.9;5.7;4.1;7.8
"1964";7;6.1;4;8.6
"1965";6;6.7;5;9.6
"1966";6.8;6.7;4;8.2
"1967";3.2;5.9;3.4;9.2
"1968";4.3;5.6;3.7;6.8
"1969";6.5;6.4;4.1;8.6
"1970";5.1;5.2;3.3;8
"1971";5.9;6.7;3.8;9.9
"1972";4.6;6.2;4.6;8.9
"1973";4.8;5.5;3;8.6
"1974";6.1;6.9;3.9;10.6
"1975";4;6.7;4.1;9.5
"1976";4.1;6.2;2.4;9.3
"1977";5.4;6.2;3.3;9.2
"1978";6.6;5.1;3;6.4
"1979";6.2;6.2;3.9;8
"1980";7.2;6.2;3.8;8.8
"1981";7.9;5.8;4.3;7.6
"1982";5.4;6.2;3.7;9.5
"1983";2.4;7.2;3.6;9.5
"1984";4.9;6;3.7;8.9
"1985";8.9;5.9;3.8;7.6
"1986";9.9;5.6;2.8;8.3
"1987";7.8;6.9;4.9;9.1
"1988";4.1;6;4.1;7.6
"1989";3.6;6.7;4.9;8.6
"1990";4.5;6.8;5.2;8.8
"1991";6.4;5.6;3.2;8.6
"1992";8;6;3.4;8.8
"1993";11.1;5.4;3.3;8.8
"1994";2.6;6.1;3.2;8.4
"1995";6.1;6.6;4.6;8.9
"1996";6.6;7.2;3.9;9.4
"1997";5.8;6.6;3.3;10.1
"1998";10.2;7.2;5;9.1
"1999";5.4;6.7;4;9.1
"2000";9.6;7.1;3.6;10.9
"2001";5.3;7.7;4.2;11.2
"2002";7.8;7.5;5.7;9.5
"2003";8.2;6;4.3;7.9
"2004";4.4;6.3;3.7;8.5
"2005";9.9;5.4;3.1;8
"2006";7.8;7.3;4.1;10.8
"2007";2.2;5.6;3.1;7.8
"2008";7.3;6.5;4.9;8.5
"2009";10.3;7.9;3.8;10.9
"2010";7.1;7.4;4.8;10.7
"2011";5.5;6.2;3.9;8.6
"2012";7.8;6.1;4.3;9.3
"2013";7.8;6.2;3.5;8.6
"2014";4;6.7;3.5;10.3
"2015";5.6;7.2;4.8;9.7
"2016";4;6.6;3.5;9.5
"2017";6.1;7.2;5.3;9.1
"2018";4.7;6.7;3.8;9.1
"2019";"";7.3;4.4;12.3
"2020";"";5.9;2.7;8.8
"2021";"";7.6;5;9.9
"2022";"";6.6;3.3;10.3
"2023";"";8.9;6.6;11.1
"2024";"";6.8;4.1;10
"2025";"";6.8;4.7;9.6
"2026";"";6.3;4.3;7.7
"2027";"";6.6;4.4;8.4
"2028";"";6;3.2;9.5
"2029";"";8.6;6.1;11.8
"2030";"";7.3;5.7;9.7
"2031";"";7;3.9;10.9
"2032";"";6.6;4.2;9.8
"2033";"";6.7;4.4;9.2
"2034";"";7.8;3.7;10.4
"2035";"";7;4;9.9
"2036";"";7;4.8;10.1
"2037";"";6.5;4;10.9
"2038";"";6.9;5;10.4
"2039";"";7.8;5.1;10.5
"2040";"";6.5;4.6;8.8
"2041";"";6.7;3.7;10.6
"2042";"";7.3;4.3;10.1
"2043";"";6.2;4.2;8.6
"2044";"";7.6;5.6;8.8
"2045";"";6.6;4.6;8.2
"2046";"";6.6;4.2;9.5
"2047";"";7.1;4.5;9.5
"2048";"";5.6;2.8;9.7
"2049";"";7.1;4.5;9.6
"2050";"";6.7;3.5;11.6
"2051";"";7.1;4.2;10.3
"2052";"";9.1;5.9;13.3
"2053";"";6.1;2.8;8.4
"2054";"";8.3;4.5;11.3
"2055";"";6.3;3.1;9.3
"2056";"";8.3;4.3;11.2
