Observation based data:
The winter (dec, jan, feb) days with heavy precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The winter days with heavy precipitation for Gävleborg County.
The calculations are based on an ensemble of 61 climate model runs, all for the RCP8,5 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
ICHEC-EC-EARTH_r3i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_CNRM-ALADIN63_v1,ICHEC-EC-EARTH_r12i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r2i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_CNRM-ALADIN63_v1,NCC-NorESM1-M_r1i1p1_DMI-HIRHAM5_v3,IPSL-IPSL-CM5A-MR_r1i1p1_IPSL-WRF381P_v1,MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_IPSL-WRF381P_v2,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a,MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,IPSL-IPSL-CM5A-MR_r1i1p1_DMI-HIRHAM5_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,ICHEC-EC-EARTH_r3i1p1_SMHI-RCA4_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_DMI-HIRHAM5_v2,MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r3i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r12i1p1_IPSL-WRF381P_v1,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r12i1p1_DMI-HIRHAM5_v1,ICHEC-EC-EARTH_r12i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r12i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_MOHC-HadREM3-GA7-05_v1,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_GERICS-REMO2015_v2,MPI-M-MPI-ESM-LR_r1i1p1_IPSL-WRF381P_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,IPSL-IPSL-CM5A-MR_r1i1p1_KNMI-RACMO22E_v1,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_IPSL-WRF381P_v1,IPSL-IPSL-CM5A-MR_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_CNRM-ALADIN63_v1,NCC-NorESM1-M_r1i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22E_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,MPI-M-MPI-ESM-LR_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-6_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_KNMI-RACMO22E_v1,MPI-M-MPI-ESM-LR_r2i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MPI-M-MPI-ESM-LR_r1i1p1_DMI-HIRHAM5_v1,MIROC-MIROC5_r1i1p1_CLMcom-CCLM4-8-17_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r1i1p1_DMI-HIRHAM5_v1,ICHEC-EC-EARTH_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MPI-M-MPI-ESM-LR_r1i1p1_MOHC-HadREM3-GA7-05_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MIROC-MIROC5_r1i1p1_GERICS-REMO2015_v1

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The winter (dec, jan, feb) days with heavy precipitation, days.
Column 3: Ensemble, mean value. The winter days with heavy precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";1.1;0.2;2.2
"1952";"";1.7;0.6;3
"1953";"";2;0.6;3.1
"1954";"";2.1;0.6;3.5
"1955";"";2.4;1.3;3.9
"1956";"";2.2;1.1;3.7
"1957";"";1.9;0.4;3.5
"1958";"";1.8;0.2;3.2
"1959";"";1.9;0.6;4.1
"1960";"";1.7;0.1;3.5
"1961";0.9;1.7;0.5;3.5
"1962";2.9;2.2;0.5;4.5
"1963";1.1;1.8;0.6;3.4
"1964";0.3;1.8;0.6;3.5
"1965";1.9;2.2;0.3;4
"1966";4.4;1.6;0.4;3
"1967";6.7;1.7;0.4;2.9
"1968";1.2;2;0.5;3.6
"1969";1.4;2.3;1;3.6
"1970";0.1;1.3;0.1;2.5
"1971";1.6;2.7;0.9;5.1
"1972";0.2;1.9;1;3.1
"1973";1.2;1.9;0.4;3.9
"1974";2.3;2.1;0.5;3.5
"1975";0.8;2.1;0.9;3.7
"1976";1.8;2.4;0.6;5
"1977";5.7;2.7;1.4;4
"1978";1.2;1.9;0.7;3
"1979";0.6;1.8;0.3;3.3
"1980";0.1;2.1;0.4;3.8
"1981";1.1;1.8;0.5;3
"1982";3.1;1.7;0.7;3.1
"1983";2.3;2.1;1;3.3
"1984";1.5;1.9;0.7;3.6
"1985";2.9;1.5;0.4;2.9
"1986";2;2.3;0.6;4
"1987";3.4;2.3;1;4.3
"1988";1.9;2.4;1.1;3.7
"1989";2.6;1.6;0.6;2.9
"1990";3;2.1;1;3.4
"1991";1.1;2.2;0.7;4
"1992";0.8;2.3;0.8;4.2
"1993";0.9;2.5;1.2;3.6
"1994";3.1;2.2;1.1;3.6
"1995";2.6;1.5;0.5;2.6
"1996";0;2.4;0.9;4
"1997";0.8;1.7;0.7;2.8
"1998";2.4;2;0.7;3.5
"1999";1.5;2.5;1.1;4.1
"2000";3.5;2.1;0.8;3.6
"2001";3.4;2.1;0.5;3.6
"2002";3.4;1.9;0.4;3.3
"2003";0.2;2.2;0.7;3.9
"2004";0.5;2.5;0.7;4.9
"2005";1.4;2.3;0.2;5.1
"2006";1.2;2.7;0.5;5.7
"2007";0.7;2.6;0.5;5
"2008";3.3;2.6;0.7;4.8
"2009";2.5;2.5;1;4.1
"2010";2.4;2.7;0.5;5.7
"2011";2.2;2.4;0.5;4.5
"2012";2.4;2.4;0.7;4.5
"2013";2.1;2.1;0.6;3.8
"2014";1.7;2.5;0.9;3.8
"2015";3.2;2.8;1;4.6
"2016";2.1;2.6;0.9;4.5
"2017";0.5;2.3;0.9;4.3
"2018";3.1;2.2;0.9;3.9
"2019";"";2.7;1.1;4.7
"2020";"";2.2;0.9;3.9
"2021";"";2.5;1;4
"2022";"";2.5;1;4.4
"2023";"";2.2;0.6;3.7
"2024";"";2.8;0.8;5.1
"2025";"";3;0.8;5.4
"2026";"";2.7;1.2;4.2
"2027";"";2.6;1.1;4.9
"2028";"";3;0.7;5.8
"2029";"";2.5;1.1;4.6
"2030";"";2.1;0.5;4.3
"2031";"";3.3;0.8;6.9
"2032";"";2.8;1.2;4.4
"2033";"";2.5;1;4.3
"2034";"";2.8;1.3;4.5
"2035";"";2.7;1.1;4.2
"2036";"";2.1;0.5;4.3
"2037";"";2.2;0.8;3.8
"2038";"";3.2;1.3;5.2
"2039";"";3.6;1.3;5.7
"2040";"";2.6;1;4.2
"2041";"";3.2;1.6;5.3
"2042";"";3;1.3;4.7
"2043";"";2.9;1.5;4.9
"2044";"";2.8;0.9;5.1
"2045";"";3;1.1;4.4
"2046";"";2.5;1;4.1
"2047";"";3;1.6;4.8
"2048";"";2.4;0.8;4.8
"2049";"";2.6;0.8;3.9
"2050";"";2.9;1;4.4
"2051";"";3.6;1.4;5.7
"2052";"";3.3;1.6;5.3
"2053";"";3.3;0.7;5.6
"2054";"";3.1;1.4;4.8
"2055";"";3.2;1.6;5.2
"2056";"";3.3;1.8;5
"2057";"";3.5;1.2;6.8
"2058";"";2.7;1.1;4.5
"2059";"";3.4;1.7;5.5
"2060";"";3;1;5.4
"2061";"";3.3;1.3;5.4
"2062";"";3.2;1.6;5.1
"2063";"";3.6;1.3;5.9
"2064";"";4.1;2;6
"2065";"";3.8;2.1;5.9
"2066";"";3.2;0.9;6.3
"2067";"";3.3;0.8;5.8
"2068";"";3.8;1.5;7.1
"2069";"";3.5;1.8;5.6
"2070";"";3.4;1.6;5.2
"2071";"";2.8;1;5
"2072";"";3.3;1.1;6
"2073";"";3.9;1.7;6.3
"2074";"";2.9;1;5.3
"2075";"";3.1;0.7;5.2
"2076";"";3.9;1.9;5.9
"2077";"";3.6;1.5;6.2
"2078";"";4;1.4;7.2
"2079";"";3.2;1.4;5.3
"2080";"";4.3;1.6;6.7
"2081";"";3.9;1.6;7.1
"2082";"";3.3;1.2;5.6
"2083";"";3.3;1.5;4.8
"2084";"";4.4;2;6.6
"2085";"";4.7;1.8;8.8
"2086";"";4.6;2.5;7.7
"2087";"";4.7;2.9;7
"2088";"";4.1;1.9;7.5
"2089";"";3.8;1.4;6.5
"2090";"";4;2.4;5.8
"2091";"";3.6;1.3;6.7
"2092";"";4;1.2;6.6
"2093";"";4.7;3;6.7
"2094";"";4;1.1;7.1
"2095";"";3.9;2.2;6.1
"2096";"";3.8;1.9;5.8
"2097";"";4.4;1.2;6.9
"2098";"";4.8;2.4;7.5
"2099";"";4.3;2;7.4
