Observation based data:
The summer (jun, jul, aug) days with heavy precipitation for Gävleborg County.
The calculations are based on gridded historical data for daily precipitation. Each grid cell represents an area of about 12x12 km.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Scenario data:
The summer days with heavy precipitation for Gävleborg County.
The calculations are based on an ensemble of 61 climate model runs, all for the RCP8,5 scenario. Each grid cell represents an area of about 12x12 km.
Please note that the ensemble consists of fewer model runs during the periods 1951-1970 and 2098-2100.
The mean value of the area is based on all the grid cells in the area that consist of more than 50% land according to one of the CORDEX land sea masks.

Version:
1.0

Date:
2021-11-17

Ensemble members:
ICHEC-EC-EARTH_r3i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_CNRM-ALADIN63_v1,ICHEC-EC-EARTH_r12i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r1i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r2i1p1_SMHI-RCA4_v1,MPI-M-MPI-ESM-LR_r1i1p1_CNRM-ALADIN63_v1,NCC-NorESM1-M_r1i1p1_DMI-HIRHAM5_v3,IPSL-IPSL-CM5A-MR_r1i1p1_IPSL-WRF381P_v1,MOHC-HadGEM2-ES_r1i1p1_KNMI-RACMO22E_v2,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_IPSL-WRF381P_v2,CNRM-CERFACS-CNRM-CM5_r1i1p1_CNRM-ALADIN63_v2,MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v1a,MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009_v1,IPSL-IPSL-CM5A-MR_r1i1p1_DMI-HIRHAM5_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_KNMI-RACMO22E_v2,ICHEC-EC-EARTH_r3i1p1_SMHI-RCA4_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_DMI-HIRHAM5_v2,MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r3i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r12i1p1_IPSL-WRF381P_v1,ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1,ICHEC-EC-EARTH_r12i1p1_DMI-HIRHAM5_v1,ICHEC-EC-EARTH_r12i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,MOHC-HadGEM2-ES_r1i1p1_DMI-HIRHAM5_v2,ICHEC-EC-EARTH_r12i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_MOHC-HadREM3-GA7-05_v1,MPI-M-MPI-ESM-LR_r1i1p1_KNMI-RACMO22E_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_GERICS-REMO2015_v2,MPI-M-MPI-ESM-LR_r1i1p1_IPSL-WRF381P_v1,MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17_v1,ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v2,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17_v1,MPI-M-MPI-ESM-LR_r2i1p1_MPI-CSC-REMO2009_v1,IPSL-IPSL-CM5A-MR_r1i1p1_KNMI-RACMO22E_v1,ICHEC-EC-EARTH_r12i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_IPSL-WRF381P_v1,IPSL-IPSL-CM5A-MR_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_CNRM-ALADIN63_v1,NCC-NorESM1-M_r1i1p1_MOHC-HadREM3-GA7-05_v1,ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO22E_v1,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1,MPI-M-MPI-ESM-LR_r1i1p1_ICTP-RegCM4-6_v1,MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-6_v1,NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v1,NCC-NorESM1-M_r1i1p1_KNMI-RACMO22E_v1,MPI-M-MPI-ESM-LR_r2i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MPI-M-MPI-ESM-LR_r1i1p1_DMI-HIRHAM5_v1,MIROC-MIROC5_r1i1p1_CLMcom-CCLM4-8-17_v1,NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1,NCC-NorESM1-M_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,ICHEC-EC-EARTH_r1i1p1_DMI-HIRHAM5_v1,ICHEC-EC-EARTH_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MPI-M-MPI-ESM-LR_r1i1p1_MOHC-HadREM3-GA7-05_v1,CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,MIROC-MIROC5_r1i1p1_GERICS-REMO2015_v1

Copyright SMHI
 
Column 1: Year
Column 2: Observation based data. The summer (jun, jul, aug) days with heavy precipitation, days.
Column 3: Ensemble, mean value. The summer days with heavy precipitation, days.
Column 4: Ensemble, 10-percentile, days.
Column 5: Ensemble, 90-percentile, days.
year;obs_based;ensemble_mean;tenthPercentile;nintiethPercentile
"1951";"";5.9;3.7;8.2
"1952";"";6.8;4.3;10.1
"1953";"";6.7;4;9.9
"1954";"";6.8;3.8;9.8
"1955";"";5.5;2.8;8.6
"1956";"";7.1;4.4;10.2
"1957";"";6.5;3.7;9.4
"1958";"";7;3.9;10.1
"1959";"";5.3;2.8;7.8
"1960";"";5.7;3;9.2
"1961";7.1;5.9;3;8.7
"1962";4.3;6.5;4.4;9.1
"1963";3.9;5.8;3.8;8.6
"1964";7;6.8;3.9;9.9
"1965";6;6.2;3.7;8.6
"1966";6.8;6.1;3.5;8.3
"1967";3.2;6.1;3.6;9.1
"1968";4.3;5.5;3.4;7.5
"1969";6.5;6.8;4;9.2
"1970";5.1;6;3.4;8.6
"1971";5.9;6.3;3.7;9.6
"1972";4.6;6.5;4.3;9.2
"1973";4.8;5.7;3;8.7
"1974";6.1;7.3;4.1;11
"1975";4;6.7;4;10
"1976";4.1;6.6;3.7;9.7
"1977";5.4;7.1;4;10.6
"1978";6.6;5.1;2.5;7.7
"1979";6.2;6.4;3.8;9.3
"1980";7.2;6.2;3.7;9.1
"1981";7.9;5.9;4.1;8.5
"1982";5.4;6.1;3.5;8.8
"1983";2.4;7.2;3.8;9.7
"1984";4.9;6.6;3.1;9.6
"1985";8.9;6.2;4.1;8.3
"1986";9.9;5.5;3.1;8.2
"1987";7.8;6.7;4.7;9.1
"1988";4.1;6.1;3.7;8.4
"1989";3.6;6.3;3.9;8.3
"1990";4.5;6.7;4;8.9
"1991";6.4;6.2;3.7;9.2
"1992";8;6.2;3.6;9.2
"1993";11.1;5.6;3.3;8.3
"1994";2.6;6;3.2;8.4
"1995";6.1;6.6;3.7;9.5
"1996";6.6;7.1;3.9;10
"1997";5.8;6.2;3.2;9
"1998";10.2;6.8;4;10
"1999";5.4;6.2;3.4;9
"2000";9.6;6.7;3.6;10.5
"2001";5.3;7.7;4.6;11.2
"2002";7.8;7.2;5.1;9.5
"2003";8.2;6.3;3.5;9.6
"2004";4.4;6.4;3.4;9.5
"2005";9.9;5.9;3.3;8.8
"2006";7.8;7.5;4.7;10.4
"2007";2.2;6.9;4.4;10.2
"2008";7.3;7.4;4.9;10.1
"2009";10.3;6.9;3.8;10.3
"2010";7.1;6.1;4;9.3
"2011";5.5;7.4;5;9.8
"2012";7.8;6.6;3.5;9.7
"2013";7.8;7;4.1;10.2
"2014";4;6;3.5;8.5
"2015";5.6;6.7;3.6;9.1
"2016";4;6.5;4.5;8.6
"2017";6.1;6.9;4.4;9.5
"2018";4.7;7.6;5;10.7
"2019";"";7.2;4.5;9.7
"2020";"";7.9;4.4;11.7
"2021";"";6.2;3.4;9.9
"2022";"";7.1;4.4;10.1
"2023";"";6.7;4.4;9.2
"2024";"";7.5;4.8;10.5
"2025";"";5.4;2.9;7.8
"2026";"";7.2;4.4;10.7
"2027";"";6.8;3.9;9.5
"2028";"";7;4.7;9.7
"2029";"";7.1;4.3;10.4
"2030";"";6;3.3;8.4
"2031";"";6.8;3.2;10.5
"2032";"";6.7;3.6;9.8
"2033";"";6.9;4;10.4
"2034";"";6.3;2.9;10.6
"2035";"";7.2;4.6;9.6
"2036";"";6.8;4.4;8.7
"2037";"";7.4;4.4;11.7
"2038";"";7.8;3.5;13
"2039";"";6.6;3.6;9.7
"2040";"";7.3;4.5;9.7
"2041";"";6.6;3.3;10.7
"2042";"";7.4;4.7;10.3
"2043";"";8.8;5.6;12.7
"2044";"";7.2;4.5;9.3
"2045";"";7.8;4.9;11.1
"2046";"";6.5;3.4;10.2
"2047";"";6.5;3.5;9.2
"2048";"";6.9;4.2;9.9
"2049";"";7.3;4.2;10.2
"2050";"";6.1;2.9;9.3
"2051";"";7.7;4.7;11.8
"2052";"";7.7;5.1;11
"2053";"";6.2;3.9;8.7
"2054";"";7.5;4.6;10.8
"2055";"";7.7;4.9;11.5
"2056";"";7.4;3.9;10.4
"2057";"";7.3;3.5;11.8
"2058";"";6.3;3.2;9.2
"2059";"";7.7;4.7;10.7
"2060";"";6;3.2;10
"2061";"";6.1;3.6;9.3
"2062";"";6.6;3.7;10.2
"2063";"";6;3.5;8.9
"2064";"";8.1;4.1;11.6
"2065";"";6.9;3.2;10.2
"2066";"";7.3;4.5;10.7
"2067";"";8;5;11.3
"2068";"";6.6;4.4;9.5
"2069";"";7;5;9.9
"2070";"";7.6;3.7;11.7
"2071";"";7.2;4.3;10.5
"2072";"";8;4.5;11.6
"2073";"";6.5;3.8;9.7
"2074";"";7.6;4.4;11
"2075";"";8.1;5.4;11.2
"2076";"";6.8;3.8;9.8
"2077";"";6.7;4;9.9
"2078";"";7.5;3;12.2
"2079";"";7.2;3.9;10.4
"2080";"";6.9;4.3;9.2
"2081";"";6.8;3.7;10.3
"2082";"";7;3.3;11.2
"2083";"";7.3;4.5;11.2
"2084";"";8.2;5;11.7
"2085";"";7.2;3.6;11.4
"2086";"";7.2;4.3;10.9
"2087";"";8.3;5.2;11.5
"2088";"";7.4;4.5;11.1
"2089";"";7.4;4.4;11.1
"2090";"";7.5;3.8;10.9
"2091";"";6.5;3.6;11.1
"2092";"";7.4;3.9;11.3
"2093";"";7.2;4.9;11
"2094";"";7.9;4.9;12.1
"2095";"";8.8;5.6;12.3
"2096";"";6.9;3.9;10.6
"2097";"";7.9;4.7;11.9
"2098";"";8;4.8;11.5
"2099";"";8.4;5;12.7
